Class 0

Class 3006
s2403a 458.362 458.722
s2402a 454.316 454.646

Class 3007
s2402b 167.949 168.309
s2402a 455.316 455.646

Class 3008
s2403a 158.444 159.004
s2402a 459.539 460.089

Class 3009
s2402a 459.739 460.119
s2402a 588.888 589.317

Class 3010
s2403b 344.747 345.287
s2402a 461.109 461.539

Class 3011
s2704a 125.467 125.777
s2702b 136.97 137.28
s2502a 272.463 272.823
s2503a 203.239 203.619
s2402a 491.375 491.753
s2902b 298.009 298.549
s2702a 370.194 370.784

Class 3012
s2403a 161.084 161.474
s2402a 496.071 496.401

Class 3013
s2403b 20.9099 21.2599
s2402a 512.462 512.802

Class 3014
s2402b 265.908 266.618
s2402a 562.668 563.288

Class 3015
s2402b 554.155 554.705
s2402a 568.195 568.825

Class 3016
s2402b 509.668 510.068
s2402a 581.468 581.968

Class 3017
s2402b 271.589 272.039
s2402a 588.908 589.367

Class 3018
s2402b 12.1936 12.7536
s2403b 60.4246 60.9546

Class 3019
s2402b 19.6839 20.1539
s2402b 344.386 344.876

Class 3020
s2402b 33.7002 34.1102
s2702b 189.778 190.138

Class 3021
s2402b 75.6781 76.3581
s2402b 440.134 440.734

Class 3022
s2402b 78.4103 78.8303
s2402b 288.209 288.599

Class 3023
s2402b 80.5871 81.0471
s2402b 92.9697 93.4697

Class 3024
s2403b 3.29212 3.67212
s2402b 81.2271 81.5971

Class 3025
s2402b 83.6066 83.9266
s2403b 434.426 434.856

Class 3026
s2402b 84.8054 85.1154
s2402b 89.4833 89.8033

Class 3027
s2402b 94.8376 95.7776
s2402b 100.447 101.357

Class 3028
s2403b 29.2984 30.0584
s2402b 95.3276 95.7909
s2402b 424.597 425.217
s2402b 554.325 554.715

Class 3029
s2403a 103.651 104.021
s2402b 97.0067 97.3567

Class 3030
s2402b 101.897 102.397
s2403b 274.359 274.829

Class 3031
s2402b 104.187 104.497
s2402b 416.832 417.262

Class 3032
s2403a 28.7621 29.5721
s2402b 111.908 113.018

Class 3033
s2402b 163.587 164.437
s2403b 286.355 287.055

Class 3034
s2402b 165.127 165.997
s2402b 352.335 352.985

Class 3035
s2402b 165.527 166.057
s2403a 423.713 424.223

Class 3036
s2402b 167.959 168.289
s2403b 476.451 476.841

Class 3037
s2402b 183.481 184.391
s2402b 200.034 200.464

Class 3038
s2403b 24.4984 25.0584
s2402b 184.671 185.261

Class 3039
s2403a 54.5805 55.0305
s2402b 186.488 186.988

Class 3040
s2403a 230.693 231.123
s2402b 240.373 240.863

Class 3041
s2402b 242.922 243.407
s2402b 340.527 340.868
s2403b 477.271 477.801

Class 3042
s2402b 255.495 255.855
s2602b 279.277 279.717
s2703b 424.409 424.719

Class 3043
s2402b 258.709 259.139
s2403a 584.787 585.187

Class 3044
s2402b 259.649 260.229
s2403a 479.496 480.236

Class 3045
s2402b 313.801 314.121
s2902b 504.61 504.98

Class 3046
s2403b 32.6324 33.2224
s2402b 337.978 338.377

Class 3047
s2402b 344.296 344.686
s2402b 424.097 424.587

Class 3048
s2402b 346.868 347.308
s2402b 355.205 355.565

Class 3049
s2403b 29.7884 30.2084
s2402b 352.605 352.995
s2403b 418.568 419.048

Class 3050
s2402b 353.285 353.975
s2402b 361.386 362.106

Class 3051
s2402b 355.415 356.185
s2402b 468.043 468.843

Class 3052
s2403b 254.844 255.374
s2402b 364.076 364.416

Class 3053
s2403a 55.8805 56.9205
s2402b 376.785 377.19
s2402b 394.891 395.281

Class 3054
s2403a 165.267 165.607
s2402b 377.005 377.335

Class 3055
s2402b 407.483 407.813
s2403a 494.938 495.308

Class 3056
s2403a 239.307 239.807
s2402b 409.043 409.513

Class 3057
s2403b 24.3384 24.8884
s2402b 416.612 417.032

Class 3058
s2403a 113.116 113.566
s2402b 420.291 420.611

Class 3059
s2403a 389.157 389.557
s2402b 421.721 422.166
s2403a 558.876 559.246

Class 3060
s2702a 190.419 190.749
s2402b 456.699 457.029

Class 3061
s2403a 392.569 393.219
s2402b 458.92 459.4

Class 3062
s2403b 60.4946 61.0046
s2402b 476.967 477.517

Class 3063
s2403a 510.204 510.635
s2402b 512.697 513.007

Class 3064
s2403a 158.654 159.124
s2402b 513.967 514.457

Class 3065
s2402b 552.513 553.083
s2903a 480.008 480.668

Class 3066
s2403b 24.1884 25.0584
s2402b 553.575 554.665

Class 3067
s2403b 3.02212 3.60213
s2402b 560.681 561.481

Class 3068
s2403b 3.27212 3.62213
s2403a 113.086 113.566

Class 3069
s2403a 115.056 115.506
s2403a 234.365 234.725

Class 3070
s2403a 125.573 126.043
s2403a 141.269 141.649

Class 3071
s2403a 128.149 128.659
s2403a 288.276 288.756

Class 3072
s2403a 138.377 138.727
s2403a 264.817 265.287

Class 3073
s2403a 138.567 139.427
s2403b 413.317 414.037

Class 3074
s2403a 149.539 150.049
s2403b 399.884 400.364

Class 3075
s2403a 154.274 154.884
s2403a 320.489 321.239

Class 3076
s2403a 163.354 163.714
s2403a 386.694 387.484

Class 3077
s2403a 165.307 165.657
s2903b 140.906 141.326

Class 3078
s2403a 166.51 166.85
s2701b 572.61 573

Class 3079
s2403a 203.396 203.796
s2702b 265.203 265.653

Class 3080
s2403b 60.3346 60.6646
s2403a 239.077 239.417

Class 3081
s2403a 243.78 244.225
s2403b 321.36 321.85
s2403a 454.515 454.915

Class 3082
s2701b 18.9713 19.4913
s2403a 265.012 265.392
s2403b 291.662 292.042

Class 3083
s2403b 77.8869 78.6269
s2403a 277.731 278.441

Class 3084
s2403a 277.961 278.411
s2403b 463.61 464.05

Class 3085
s2403b 24.3684 24.7984
s2403a 327.478 327.978

Class 3086
s2403a 330.512 330.882
s2403a 407.028 407.398

Class 3087
s2403b 324.61 324.94
s2403a 443.127 443.527

Class 3088
s2403a 445.785 446.235
s2903a 503.502 503.962

Class 3089
s2702b 106.281 106.611
s2403a 447.895 448.235

Class 3090
s2403a 458.702 459.032
s2403b 421.572 422.002

Class 3091
s2403b 152.463 152.793
s2403a 458.932 459.262

Class 3092
s2403b 306.735 307.315
s2403a 510.154 510.745

Class 3093
s2403b 11.3684 11.7084
s2403b 60.3546 60.6946

Class 3094
s2403b 56.2136 56.5636
s2602b 288.237 288.607
s2902b 407.49 407.82

Class 3095
s2403b 79.7769 80.0869
s2403b 255.014 255.334

Class 3096
s2403b 192.144 192.474
s2403b 463.39 463.79

Class 3097
s2403b 387.459 388.219
s2403b 389.255 389.925

Class 3098
s2403b 485.368 485.788
s2403b 525.291 525.721

Class 3099
s2501a 12.7046 13.2646
s2501b 85.5017 85.8717
s2603a 335.156 335.776

Class 3100
s2501a 12.9896 13.2996
s2501b 497.781 498.121

Class 3101
s2501a 13.4196 14.1796
s2501b 446.411 447.262

Class 3102
s2501a 14.1396 14.4896
s3302a 427.917 428.457

Class 3103
s2501a 14.3896 14.8196
s2701b 42.3631 42.6831

Class 3104
s2501a 49.7886 50.2486
s2502b 262.538 262.948

Class 3105
s2501a 50.7286 51.3586
s2501b 529.313 529.643

Class 3106
s2501a 51.1106 51.4686
s2503b 205.756 206.076
s2603a 351.635 352.065
s2503b 328.223 328.633
s2902b 306.236 306.616
s2503b 377.415 377.885

Class 3107
s2501a 51.7686 52.1586
s2601b 62.1509 62.4609

Class 3108
s2502a 49.7281 50.2881
s2502b 58.7243 59.4343
s2603b 65.7926 66.1626
s2501a 62.6816 63.2435
s2503b 82.1534 82.5734
s2501a 179.989 180.459
s2502a 374.257 374.937
s2502b 351.698 352.443
s2501a 447.122 447.612
s2501b 479.039 479.8
s2501b 517.863 518.463

Class 3109
s2501a 62.8735 63.4935
s2503b 414.173 415.153

Class 3110
s2501a 62.8885 63.2485
s2503a 468.637 469.317
s2501a 574.055 574.605

Class 3111
s2501a 63.1135 63.4635
s2503a 199.242 199.652

Class 3112
s2502b 9.23387 9.68388
s2501a 63.7289 64.1619
s2503a 75.8889 76.2289
s2503b 76.2756 76.8456
s2502b 262.588 263.078
s2502a 300.558 301.048
s2501a 302.214 302.594
s2503b 311.808 312.388
s2502a 408.084 408.704
s2503a 303.183 303.693
s2503b 356.581 356.961
s2602b 523.99 524.32
s2501b 485.176 485.486
s2501a 548.606 549.236

Class 3113
s2501a 63.8335 64.4585
s2502b 373.977 375.267
s2502a 424.865 425.995
s2501b 501.452 502.112
s2502a 553.816 554.466
s2502a 561.201 561.711

Class 3114
s2501a 63.8835 64.6835
s2502a 569.896 570.616

Class 3115
s2501a 63.9135 65.0635
s2602a 376.307 377.167

Class 3116
s2501a 71.829 73.069
s2501a 156.884 157.444

Class 3117
s2501a 72.009 72.319
s2502a 285.093 285.683

Class 3118
s2603a 55.6177 55.9977
s2502a 96.287 96.937
s2603a 119.17 119.57
s2501a 72.4862 72.9853
s2501b 113.213 113.623
s2502a 286.575 287.165
s2601b 240.737 241.167
s3102a 345.509 345.969
s2502a 386.709 387.149
s2503b 349.207 350.377
s2502a 425.285 425.925
s3101a 508.145 508.625

Class 3119
s3302a 37.9493 38.5893
s2603a 55.6177 55.9977
s2501a 72.325 72.815
s2601b 240.737 241.167
s3102a 345.509 345.969
s2503b 442.292 443.312

Class 3120
s2501a 72.6423 73.1756
s2503b 185.115 185.485
s2502b 388.325 389.225
s2502a 425.285 425.925

Class 3121
s2501a 74.0237 74.4837
s2502a 397.916 398.336

Class 3122
s2503b 61.4735 61.8135
s2501a 93.4404 93.8904

Class 3123
s3101a 29.7136 30.3036
s2503a 67.6877 68.1178
s2501a 98.0754 98.5604

Class 3124
s2501a 99.2389 99.7589
s2501a 160.073 160.483

Class 3125
s2501b 124.013 124.413
s2501a 102.068 102.466
s2502b 270.919 271.229
s2502b 284.664 285.184
s2503a 262.173 262.523
s2502b 517.056 517.525
s2502a 538.151 538.731
s2503a 454.446 454.956

Class 3126
s2502a 99.6596 100.33
s2501a 102.168 102.642
s2502b 284.664 285.184
s3002b 383.299 383.969
s2501a 331.427 331.837
s2502b 517.056 517.525
s2503a 454.446 454.956

Class 3127
s2502b 9.24387 9.62387
s2502b 116.923 117.353
s2501a 101.762 102.13
s2703a 171.811 172.711
s2502a 376.867 377.187

Class 3128
s2501a 102.492 102.902
s2502b 155.146 155.856
s3102a 522.96 523.35
s2501a 531.211 531.731
s2502a 574.456 574.986

Class 3129
s2501a 108.586 108.976
s2503b 150.69 151.14
s2502b 306.284 306.603
s2503a 260.679 261.119
s2503b 400.201 400.591

Class 3130
s2501a 108.884 109.604
s2502b 227.307 228.767
s2502a 439.417 439.997

Class 3131
s2503a 103.061 103.801
s2501a 109.264 109.632
s2503a 142.142 142.612
s2503b 183.945 184.415
s2503a 169.02 169.59
s2503b 253.194 253.793
s2603b 377.409 377.719

Class 3132
s2501a 114.748 115.278
s2502b 192.282 193.032

Class 3133
s2501a 115.142 115.65
s2501a 226.945 227.365
s2502b 264.944 265.684
s2501b 284.222 284.552
s2502a 459.848 460.168
s2602a 482.891 483.491

Class 3134
s2501a 115.088 116.128
s2501a 117.606 118.386

Class 3135
s2501a 115.718 116.218
s2502a 581.896 582.206

Class 3136
s2501b 56.1392 56.7993
s2503b 51.2911 51.8311
s2501b 126.544 127.274
s2501a 117.156 117.739
s2501b 146.495 147.055
s2502b 383.665 384.165
s2503a 283.027 283.647
s2502a 388.571 389.051
s2501a 379.505 380.225
s2501b 446.572 446.942
s2501b 506.803 507.283
s2501a 526.565 527.455
s2502a 595.761 596.931

Class 3137
s2501b 56.1392 56.7993
s2503b 51.2911 51.8311
s2503b 75.0956 75.6956
s2501a 117.179 117.696
s2501b 146.495 147.055
s2502a 194.776 195.086
s2502b 383.665 384.165
s2502a 388.571 389.051
s2501a 379.505 380.225
s2501b 446.572 446.942
s2501b 506.803 507.283
s2501a 526.565 527.455

Class 3138
s2501a 117.276 118.177
s2503a 303.153 304.583

Class 3139
s2503b 56.8094 57.3094
s2501a 117.409 117.806
s2502a 235.559 235.989
s2502b 291.218 291.728
s3302b 390.698 391.088
s2503a 498.442 498.852

Class 3140
s2503a 107.121 107.852
s2501a 119.102 119.762

Class 3141
s2502a 173.031 173.411
s2501a 119.122 119.432

Class 3142
s2501a 119.262 120.212
s2502a 209.686 210.386

Class 3143
s2501a 119.462 119.942
s2503a 327.407 327.917

Class 3144
s2501a 119.772 120.342
s3103a 193.498 194.048

Class 3145
s2501a 120.272 121.292
s2501a 159.303 160.763

Class 3146
s2502b 110.076 110.975
s2501a 120.522 121.202

Class 3147
s2501a 120.837 121.267
s2502b 301.173 301.643
s2902b 437.727 438.107

Class 3148
s2501a 121.092 121.522
s2501a 386.122 386.592
s2501b 510.599 510.979

Class 3149
s2501a 122.299 122.669
s2502a 587.758 588.128

Class 3150
s2502b 86.5175 87.3775
s2501a 123.503 124.353
s2503a 174.893 175.753
s2502b 264.744 265.694

Class 3151
s2501a 123.915 124.284
s3001b 271.752 272.242
s2503b 250.315 250.785
s2503b 255.833 256.443
s2502b 429.057 429.457
s2502a 424.327 424.736
s2502a 459.738 460.078
s2502b 473.96 474.39

Class 3152
s2501a 125.163 125.473
s2703b 478.802 479.152

Class 3153
s2501a 125.653 126.113
s2503a 174.953 175.803

Class 3154
s2501b 146.305 146.785
s2501a 126.373 126.918
s2502b 377.168 378.108

Class 3155
s2502b 103.213 103.793
s2501a 126.578 127.168

Class 3156
s2501a 127.489 127.909
s3102a 275.809 276.229

Class 3157
s2501a 127.499 128.429
s2503b 475.45 476.03

Class 3158
s2501a 127.499 128.159
s2601a 383.916 384.496

Class 3159
s2501a 127.909 128.449
s2501b 513.755 514.175

Class 3160
s2501a 129.697 130.052
s2501b 234.971 235.411
s2502b 372.958 373.338

Class 3161
s2702a 59.3996 59.8096
s2502b 116.443 116.983
s2501b 157.143 157.453
s2501a 133.389 133.825
s2502a 290.696 291.206
s2503a 210.157 210.487
s2602b 289.553 289.873
s2502b 431.01 431.34
s2503b 400.161 400.641
s2501b 528.263 528.623

Class 3162
s3101b 44.9032 45.8832
s2502b 58.1546 58.4746
s2603b 84.1249 84.4849
s2501a 134.243 134.726
s2502a 209.276 209.806
s2503a 160.072 160.422
s2501b 230.896 231.246
s2501b 265.135 265.765
s2502b 424.478 424.888
s2503b 384.621 385.071
s2502b 518.731 519.401
s2601b 538.962 539.342
s2503b 457.243 457.923
s2503a 442.632 443.122
s2503a 493.436 493.896

Class 3163
s2501a 134.021 134.431
s2503b 145.224 145.814

Class 3164
s2501a 135.428 136.258
s2503a 436.768 437.598

Class 3165
s2501a 135.66 136.03
s2501b 266.044 266.434
s2501b 307.368 307.678
s2503b 344.245 344.605
s2503a 372.147 372.587

Class 3166
s2501a 135.971 136.364
s2501a 386.152 386.602
s2503a 454.466 454.886
s2503a 498.422 499.012

Class 3167
s2501a 142.183 142.493
s2602a 428.281 428.611

Class 3168
s2502a 187.119 187.639
s2501a 142.473 142.933
s2502b 385.177 385.677

Class 3169
s2502a 56.5884 56.9084
s2501a 142.816 143.213
s2501a 285.625 285.975
s3302a 399.065 399.585

Class 3170
s2501a 142.723 143.553
s3101a 370.274 370.834

Class 3171
s2502b 47.1914 47.7714
s2502b 105.723 106.103
s2501a 143.67 144.175
s2501a 313.878 314.308
s2503b 442.932 443.462
s2502a 581.146 581.556

Class 3172
s2501a 146.3 146.73
s2501b 355.263 355.803
s2503b 475.45 475.79

Class 3173
s2501a 147.126 147.536
s2503a 219.207 219.827

Class 3174
s2502a 181.998 182.468
s2501a 147.426 147.806
s2502b 234.444 234.804

Class 3175
s2501a 148.113 148.458
s3101a 234.397 234.797
s2501b 288.811 289.161

Class 3176
s2501a 148.273 148.73
s2502a 251.547 252.067
s2501a 281.698 282.338
s2503b 384.641 385.061

Class 3177
s2501b 83.0101 83.6401
s2703b 159.999 160.589
s2503a 130.15 130.75
s2501a 152.002 152.605
s2501a 156.944 157.364
s2501a 167.035 167.425
s2501b 271.253 271.843
s2501b 273.876 274.226
s3102a 274.969 275.619
s2502a 358.722 359.212
s2501b 388.6 389.175
s2503b 338.446 338.786
s3102a 386.337 386.777
s2502b 444.543 445.363
s2502b 481.592 482.202
s2602b 566.923 567.293
s2702a 501.878 502.208
s2502a 569.206 570.006

Class 3178
s2602a 100.905 101.325
s2503b 61.6335 62.1335
s2502a 151.993 152.343
s2503a 102.741 103.471
s2703b 159.999 160.589
s2501a 152.01 152.506
s2501a 156.944 157.364
s2501b 273.876 274.226
s3102a 274.969 275.619
s2502a 358.722 359.212
s2502a 405.553 406.163
s2503b 338.446 338.786
s3102a 386.337 386.777
s2502b 481.592 482.202
s2602b 566.923 567.293
s2702a 501.878 502.208
s2502a 569.206 570.006

Class 3179
s2501a 152.425 152.775
s2502a 388.651 389.111

Class 3180
s2501a 153.059 153.659
s2502a 348.837 349.217

Class 3181
s2501b 127.024 127.814
s2501a 153.364 153.979
s2503b 314.89 315.46

Class 3182
s2501a 154.049 154.389
s2501a 341.776 342.086

Class 3183
s2502b 85.4112 85.8012
s2501a 154.459 154.859

Class 3184
s2502a 40.3086 41.2786
s2501a 156.189 157.221
s2502b 192.972 193.542
s2503a 263.733 264.753
s2502b 378.534 379.494

Class 3185
s2502a 209.846 211.086
s2501a 156.146 156.781
s2501b 309.151 309.671
s2502b 485.693 486.413
s2503a 364.106 364.806

Class 3186
s2501a 156.184 156.629
s3302b 348.618 348.938
s2501b 309.151 309.671

Class 3187
s2502b 38.1482 38.7182
s2501a 156.474 157.244
s2502b 402.62 403.24
s2503a 356.509 357.459

Class 3188
s2501a 156.469 156.879
s2601b 289.442 289.842
s2503a 441.462 441.772

Class 3189
s2503b 18.3534 18.7034
s2503b 26.9887 28.0487
s3103a 74.3692 74.7892
s2502a 93.7374 94.1974
s2502b 86.7375 87.2675
s2603a 128.455 128.815
s2503a 79.0726 79.5726
s2502b 102.683 103.113
s2601a 170.522 170.842
s2502a 169.921 170.351
s2603a 182.993 183.442
s2502b 145.449 146.139
s2501a 156.942 157.36
s2601a 253.654 254.454
s2502a 235.639 235.999
s3102b 209.065 209.415
s2503b 185.025 185.375
s2503a 186.813 187.413
s2502a 254.403 254.763
s2502a 284.663 285.033
s2502a 290.746 291.326
s2503a 221.259 222.019
s2502b 294.492 295.232
s2503b 255.413 256.143
s2503b 272.415 273.345
s2503b 274.647 275.137
s2501b 331.148 331.888
s3102a 345.329 345.889
s3302b 404.132 404.452
s2502b 412.504 413.324
s2502a 411.72 412.33
s2501a 378.038 378.478
s2502b 472.49 473.03
s2501b 454.063 455.133
s2602b 566.913 567.263
s2503a 414.131 415.101
s2503b 452.763 453.353
s2503b 454.759 455.099
s2502a 572.311 572.771
s2502a 573.956 574.476
s2501a 588.043 588.473

Class 3190
s2503b 18.3534 18.7034
s3103a 74.3692 74.7892
s2502a 93.7374 94.1974
s2502b 86.7375 87.2675
s2603a 128.455 128.815
s2503a 79.0726 79.5726
s2502b 102.683 103.113
s2601a 170.522 170.842
s2502a 169.921 170.351
s2603a 182.993 183.442
s2502b 145.449 146.139
s2502b 181.094 181.744
s2501a 156.944 157.364
s2601a 253.654 254.454
s2502a 235.639 235.999
s3102b 209.065 209.415
s2503b 185.025 185.375
s2503a 186.813 187.413
s2502a 254.403 254.763
s2502a 284.663 285.033
s2502a 290.746 291.326
s2503a 221.259 222.019
s2502b 294.492 295.232
s2503b 255.413 256.143
s2503b 272.415 273.345
s2503b 274.647 275.137
s2501b 331.148 331.888
s3102a 345.329 345.889
s3302b 404.132 404.452
s2502b 412.504 413.324
s2502a 411.72 412.33
s2501a 378.038 378.478
s2502b 472.49 473.03
s2501b 454.063 455.133
s2602b 566.913 567.263
s2503a 414.131 415.101
s2503b 452.763 453.353
s2503b 454.759 455.099
s2502a 572.311 572.771
s2502a 573.956 574.476
s2501a 588.043 588.473

Class 3191
s2501a 159.313 159.633
s2501b 561.475 561.795

Class 3192
s2501a 159.376 159.933
s2502b 228.658 229.193
s2502b 273.329 274.069
s2501b 430.898 431.368

Class 3193
s2501a 159.803 160.488
s2503a 354.031 354.44
s2502a 501.112 502.012

Class 3194
s2501b 83.4701 83.8001
s2502b 81.3054 81.7454
s3302b 97.46 97.9
s2503b 93.6626 94.1126
s2502b 120.34 120.84
s2501b 131.771 132.261
s2501a 160.185 160.607
s2502a 265.473 265.803
s3102b 406.544 407.184
s2501a 548.546 549.006

Class 3195
s3102a 52.2416 52.8116
s2501a 161.39 161.75
s2501b 288.771 289.081

Class 3196
s3003a 8.74113 9.23113
s2503b 65.8935 66.4335
s2501a 167.107 167.474
s2501b 234.951 235.431
s2501b 273.276 273.696
s2503a 213.475 213.815
s3002a 383.432 383.812
s2501a 328.013 328.613
s2502b 472.81 473.21
s2502b 503.304 503.614
s2501b 516.103 516.443
s2503a 468.808 469.188

Class 3197
s2503b 65.8935 66.4335
s2501a 167.143 167.64
s2502b 264.744 265.664
s2503a 213.475 213.815
s2502a 415.672 416.152
s2503a 306.588 307.078
s2502b 472.81 473.21
s2503a 468.808 469.188

Class 3198
s2501a 167.495 167.995
s3101a 208.15 208.64

Class 3199
s2501a 170.387 170.984
s2502b 204.889 205.379
s2502b 225.787 226.587
s2501b 274.696 275.606
s2501a 523.522 524.252

Class 3200
s2502b 110.046 110.915
s2503b 160.526 161.766
s2501a 170.449 171.119
s2502b 204.889 205.379
s2501a 523.522 524.252

Class 3201
s2502a 156.88 157.37
s2502a 227.594 228.184
s2501a 170.827 171.22
s2503b 197.247 198.287
s2502b 267.82 268.53
s2503a 258.228 258.628
s2502a 346.049 346.449
s2503b 304.952 305.532
s2501a 342.526 343.116
s2501b 430.848 431.298
s2702a 425.932 426.602

Class 3202
s2501a 172.906 173.256
s3102a 364.012 364.342

Class 3203
s2603b 37.517 37.867
s2501a 173.14 173.526
s2603a 394.798 395.108
s2503a 430.271 430.761

Class 3204
s2503b 40.2843 40.6243
s2501a 175.414 175.808
s3002b 489.658 490.088
s2702a 541.087 541.417

Class 3205
s2501a 179.159 179.479
s2603b 318.002 318.782

Class 3206
s2503a 7.99775 8.50775
s2502a 40.9386 41.3386
s2502b 84.6212 85.3212
s2502b 133.229 133.919
s2502a 185.957 186.887
s2502b 199.818 200.458
s2501a 181.287 181.816
s2502b 267.91 268.26
s2701a 266.669 267.039
s2503a 221.259 222.089
s2501a 285.765 286.435
s2501b 324.528 325.188
s3102a 359.877 360.438
s2503b 318.369 318.959
s2503b 323.907 324.767
s2502b 397.091 397.596
s2501b 367.153 367.883
s2502b 405.743 406.243
s2502b 421.42 421.98
s2502a 424.296 424.716
s2502b 472.5 473.24
s2503a 352.374 352.744
s2501b 454.983 455.383
s2502a 530.92 531.44
s2502a 534.89 535.48
s2503a 424.669 425.279
s2502a 553.826 554.466
s2503a 486.719 487.089
s2503a 528.129 528.779

Class 3207
s2502a 40.9386 41.3386
s2502b 133.229 133.919
s2503b 137.829 138.569
s2501a 182.295 182.718
s2502b 267.91 268.26
s2701a 266.669 267.039
s2502a 374.457 375.017
s2503b 323.907 324.767
s2502a 391.283 391.603
s2502a 403.155 403.625
s2502a 424.296 424.716
s2503a 352.374 352.744
s2501b 454.983 455.383
s2503b 409.814 410.274
s2502a 530.92 531.44
s2502a 534.89 535.48
s2502a 553.826 554.466
s2503a 486.719 487.089

Class 3208
s0102b 58.5782 58.9682
s0102b 77.3134 77.7634
s0102b 82.1496 82.6196
s2503b 54.8273 55.2573
s3102a 113.901 114.212
s2501b 127.054 127.794
s2503a 98.554 99.484
s2503a 102.991 103.321
s2503b 146.655 147.074
s3103a 186.508 186.879
s2501a 180.215 180.585
s0102a 202.898 203.548
s2501b 229.686 230.036
s0102a 208.745 209.165
s0102b 276.001 276.331
s0102b 276.868 277.268
s0103a 271.749 272.119
s0102a 253.426 253.806
s3102b 268.06 268.38
s0102a 317.958 318.633
s0103a 347.714 348.614
s0103a 359.368 359.888
s2502a 358.722 359.192
s0103a 397.443 398.013
s0102a 334.237 335.007
s0103a 403.502 404.162
s0102a 344.346 344.716
s0102a 350.709 351.859
s2502b 385.277 385.757
s2503b 324.357 324.687
s0101b 314.585 315.065
s2503b 340.036 340.356
s0101a 344.079 344.489
s2503b 367.889 368.229
s2602a 496.761 497.361
s3102b 513.891 514.591
s0102a 538.868 539.218
s3101a 508.005 509.055
s3101a 590.32 590.73

Class 3209
s2503b 0.906 1.786
s2502a 3.37394 4.00394
s2503b 72.0888 72.6888
s2502b 97.9859 98.5259
s2502b 104.243 104.663
s2501b 131.811 132.261
s2502a 240.577 240.887
s2501a 181.331 181.823
s2503b 185.315 185.795
s2502a 251.377 252.097
s2503b 197.247 198.027
s3101a 210.63 210.98
s2502a 272.223 272.693
s2502b 382.686 383.056
s2701b 343.816 344.186
s2502a 418.109 418.779
s2502a 427.497 427.872
s2502b 482.082 482.542
s2503a 364.596 365.216
s2502b 540.08 540.73
s2503a 417.683 418.013

Class 3210
s2503b 0.906 1.786
s2502b 82.5281 83.1781
s2503b 72.0888 72.6888
s2502b 97.9859 98.5259
s2502b 104.243 104.663
s2501b 131.811 132.261
s2502a 240.577 240.887
s2501a 181.348 181.796
s2503b 185.315 185.795
s2502a 251.377 252.097
s3101a 210.63 210.98
s2502b 382.686 383.056
s2701b 343.816 344.186
s2502a 418.109 418.779
s2502a 427.497 427.872
s2502b 482.082 482.542
s2503a 364.596 365.216
s2502b 540.08 540.73
s2503a 417.683 418.013
s2503a 456.336 456.656

Class 3211
s2501a 181.56 181.88
s2503b 381.725 382.105

Class 3212
s2502a 60.949 61.379
s2501a 182.075 182.54
s2501b 229.706 230.596

Class 3213
s2502b 59.3043 60.0143
s2501a 182.247 182.847
s2502a 281.711 282.021
s2503a 289.759 290.239

Class 3214
s2501a 182.39 183.044
s2501b 241.61 242.09
s2501b 271.623 271.953
s2502a 358.612 359.252
s2502a 422.544 423.214
s2503a 393.996 394.886

Class 3215
s2501a 186.364 186.734
s2501b 325.618 326.368

Class 3216
s2501a 188.045 188.681
s2502a 287.605 288.005
s2501a 278.618 279.118
s2601a 445.069 445.499
s2502a 497.8 498.66
s2502a 576.036 576.436

Class 3217
s2501a 188.096 188.976
s2502b 432.219 432.919
s2502a 595.761 596.321

Class 3218
s2501a 188.091 188.471
s2503a 274.406 274.826

Class 3219
s2503b 147.983 148.533
s2501a 188.511 188.981
s2502a 278.686 279.146

Class 3220
s2502b 29.8814 30.2014
s2501a 191.958 192.398

Class 3221
s2503a 19.925 20.385
s2501b 207.321 207.741
s2501a 196.884 197.46
s2501a 359.552 360.092
s2502a 468.275 468.755
s2503a 483.033 483.583

Class 3222
s2501a 196.952 197.792
s2501b 438.785 439.745

Class 3223
s2501b 31.897 32.267
s2501a 197.302 197.745
s2602b 252.69 253.35
s2503b 254.261 254.691
s2502b 380.925 381.405

Class 3224
s2503b 168.89 169.2
s2501b 224.449 224.799
s2501a 197.522 197.857

Class 3225
s2502a 109.932 110.862
s2503b 151.96 152.52
s2502b 210.659 211.569
s2501a 198.9 199.372
s2603a 311.565 312.045
s2502a 358.812 359.182
s2503a 321.07 321.729
s2502a 449.315 450.345
s2501b 439.025 439.655

Class 3226
s2502a 109.932 110.862
s2503b 197.207 198.027
s2501a 199.047 199.627
s2502a 358.812 359.182
s2503a 371.827 372.597
s2501b 513.515 514.155
s2502a 597.661 598.211

Class 3227
s2502b 58.8543 59.5043
s2503a 75.4089 76.1389
s2503b 141.214 141.574
s2501a 199.21 199.982
s2502a 391.703 392.203
s2502a 396.946 397.846
s2501a 412.369 412.789

Class 3228
s2501a 199.412 199.987
s2502a 493.554 494.124
